qid,name,category,country,iso,lat,lon,year,century,wikipedia,image,sitelinks,pageviews,fame_rank
Q1955420,Dirleton Castle,castle,Scotland,GB-SCT,56.0458,-2.77838,,,https://en.wikipedia.org/wiki/Dirleton_Castle,https://commons.wikimedia.org/wiki/Special:FilePath/Dirleton%20S.jpg?width=1280,13,8536,1224
Q1964047,Orford Castle,castle,England,GB-ENG,52.0942,1.53073,1165,12th century,https://en.wikipedia.org/wiki/Orford_Castle,https://commons.wikimedia.org/wiki/Special:FilePath/Orford%20Castle%20-%20geograph.org.uk%20-%201755708.jpg?width=1280,13,10254,1141
Q2412005,Bothwell Castle,castle,Scotland,GB-SCT,55.80945,-4.09504,,,https://en.wikipedia.org/wiki/Bothwell_Castle,https://commons.wikimedia.org/wiki/Special:FilePath/Bothwell_Castle_20080505_-_south-east_tower.jpg?width=1280,13,16034,996
Q2160653,Peckforton Castle,castle,England,GB-ENG,53.1175,-2.699,1844,19th century,https://en.wikipedia.org/wiki/Peckforton_Castle,https://commons.wikimedia.org/wiki/Special:FilePath/Peckforton%20Castle%202014.jpg?width=1280,13,48067,757
Q2184812,Drumlanrig Castle,castle,Scotland,GB-SCT,55.27365,-3.80871,,,https://en.wikipedia.org/wiki/Drumlanrig_Castle,https://commons.wikimedia.org/wiki/Special:FilePath/Castelodedrumlanrig.jpg?width=1280,13,35928,798
Q2351225,Brough Castle,castle,England,GB-ENG,54.52181,-2.32348,1092,11th century,https://en.wikipedia.org/wiki/Brough_Castle,https://commons.wikimedia.org/wiki/Special:FilePath/BroughCastleSE.jpg?width=1280,13,8319,1229
Q2241121,Château de Fénelon,castle,France,FR,44.84228,1.35033,,,https://en.wikipedia.org/wiki/Ch%C3%A2teau_de_F%C3%A9nelon,https://commons.wikimedia.org/wiki/Special:FilePath/Fenelon06.jpg?width=1280,13,2320,1712
Q2054341,Château de Saché,castle,France,FR,47.24583,0.54444,,,https://en.wikipedia.org/wiki/Ch%C3%A2teau_de_Sach%C3%A9,https://commons.wikimedia.org/wiki/Special:FilePath/Sach%C3%A9%20Castle.jpg?width=1280,13,1307,1883
Q3183228,Visconti Castle,castle,Italy,IT,45.19058,9.159,1360,14th century,https://en.wikipedia.org/wiki/Visconti_Castle_(Pavia),https://commons.wikimedia.org/wiki/Special:FilePath/Castello%20Sforzesco%20%282%29.JPG?width=1280,13,5920,1354
Q17567402,Borthwick Castle,castle,Scotland,GB-SCT,55.8267,-3.00736,1430,15th century,https://en.wikipedia.org/wiki/Borthwick_Castle,https://commons.wikimedia.org/wiki/Special:FilePath/Borthwick.jpg?width=1280,13,22134,924
